48.0,50.0,24.0,28.0,20.0,20.0,85.0,87.0,95.0,100.0,23.0,26.0,115.0,118.0,51.0,52.0,38.0,36.0,44.0,39.0,26.0,29.0,31.0,34.0,35.0,44.0,123.0,122.0,47.0,47.0,40.0,39.0,42.0,45.0,39.0,36.0,35.0,32.0,81.0,85.0,69.0,76.0,93.0,93.5,40.0,41.0,139.0,145.0
53.0,47.0,26.0,26.0,18.0,19.0,79.0,81.0,93.0,93.0,23.0,24.0,107.0,110.0,48.0,49.0,32.0,27.5,31.0,30.0,26.0,28.0,26.0,29.0,32.0,37.0,109.0,110.0,41.0,39.0,28.0,34.0,35.0,38.0,29.0,30.0,28.0,28.0,74.0,73.0,64.0,66.0,86.0,82.0,32.0,35.0,131.0,141.0
82.0,78.0,49.0,49.0,86.0,89.0,22.0,23.0,23.0,24.0,42.0,49.0,65.0,71.0,31.0,29.0,24.0,24.0,28.0,27.0,25.0,24.0,28.0,36.0,29.0,30.0,35.0,35.0,29.0,31.0,35.0,37.0,31.0,28.0,34.0,30.0,47.0,50.0,72.0,76.0,35.0,36.0,39.0,44.0,33.0,31.0,29.0,45.0
79.0,76.0,45.0,48.0,86.0,87.0,23.0,22.0,22.0,25.0,43.0,47.0,66.0,66.0,31.0,28.0,24.0,22.0,26.0,26.0,25.0,26.0,41.0,33.0,30.0,31.0,35.0,35.0,37.0,37.0,35.0,36.0,30.0,31.0,30.0,31.0,47.0,49.0,73.0,72.0,33.0,36.0,44.0,38.0,30.0,31.0,39.0,45.0
21.0,19.0,30.0,40.0,19.0,21.0,20.0,21.0,27.0,28.0,54.0,58.0,33.0,33.0,75.0,73.0,44.0,45.0,44.0,46.0,28.0,32.0,35.0,40.0,92.0,91.0,29.0,27.0,78.0,79.0,28.0,25.0,33.0,32.0,110.0,110.0,30.0,27.0,44.0,40.0,32.0,31.0,35.0,37.0,32.0,28.0,44.0,52.0
21.0,18.0,28.0,37.0,21.0,21.0,20.0,24.0,28.0,27.0,55.0,57.0,32.0,36.0,76.0,73.0,43.0,46.0,48.0,46.0,30.0,33.0,43.0,41.0,89.0,89.0,27.0,30.0,78.0,76.0,31.0,27.0,35.0,35.0,107.0,110.0,30.0,29.0,41.0,41.0,33.0,32.0,34.0,34.0,31.0,31.0,43.0,56.0
65.0,66.0,88.0,94.0,28.0,27.0,98.0,104.0,24.0,24.0,25.0,28.0,29.0,28.0,28.0,25.0,26.0,24.0,34.0,33.0,37.0,39.0,31.0,28.0,30.0,27.0,38.0,35.0,29.0,31.0,105.0,106.0,35.0,38.5,79.0,77.0,35.0,35.0,31.0,29.0,26.0,27.0,31.0,29.0,29.0,29.0,60.0,74.0
68.0,68.0,90.0,91.0,39.0,30.0,101.0,105.0,25.0,24.0,22.0,26.0,25.0,29.0,25.0,25.0,26.0,28.0,35.0,35.0,37.0,40.0,31.0,30.0,29.0,29.0,37.0,36.0,29.0,31.0,106.0,106.0,42.0,36.0,75.0,75.0,34.0,34.0,30.0,31.0,28.0,26.0,31.0,27.0,27.0,30.0,63.0,73.0
18.0,19.0,47.0,38.0,23.0,21.0,22.0,24.0,31.0,28.0,21.0,23.0,74.0,79.0,33.0,30.0,32.0,36.0,123.0,126.0,32.0,31.0,29.0,25.0,29.0,28.0,31.0,32.0,29.0,33.0,104.0,104.0,70.0,70.0,99.0,98.0,34.0,30.0,32.0,30.0,89.0,89.0,32.0,28.0,29.0,28.0,41.0,67.0
18.0,16.0,32.0,43.0,24.0,24.0,28.0,26.0,25.0,24.0,20.0,23.0,72.0,76.0,34.0,34.0,36.0,37.0,122.0,125.0,35.0,33.0,29.0,28.0,29.0,28.0,32.0,31.0,29.0,32.0,102.0,102.0,72.0,67.0,99.0,98.0,31.0,35.0,34.0,32.0,88.0,88.0,35.0,31.0,31.0,29.0,56.0,59.0
23.0,22.0,57.0,64.0,84.0,89.0,27.0,22.0,27.0,23.0,30.0,31.0,25.0,29.0,31.0,30.0,37.0,36.0,53.0,59.0,34.0,32.0,35.0,32.0,29.0,30.0,30.0,29.0,34.0,36.0,88.0,90.0,105.0,105.0,114.0,116.0,27.0,26.0,67.0,73.0,42.0,41.0,92.0,94.0,52.0,58.0,71.0,86.0
22.0,24.0,65.0,61.0,83.0,86.0,26.0,24.0,24.0,25.0,30.0,34.0,24.0,25.0,29.0,32.0,36.0,37.0,57.0,57.0,34.0,30.0,35.0,33.0,29.0,32.0,31.0,31.0,37.0,40.0,87.0,88.0,106.0,105.0,114.0,113.0,28.0,30.0,70.0,72.0,45.0,44.0,92.0,92.0,58.0,64.0,71.0,88.0
21.0,19.5,35.0,28.0,21.0,23.0,90.0,89.0,26.0,27.0,108.5,113.0,28.0,30.0,52.0,51.0,34.0,34.0,56.0,55.0,37.0,36.0,32.0,28.0,60.0,64.0,116.0,119.0,64.0,68.0,79.0,79.0,35.0,38.0,101.0,105.0,83.0,83.0,56.0,58.0,63.0,64.0,31.0,28.0,37.0,39.0,35.0,41.0
20.0,21.0,29.0,31.0,25.0,24.0,93.0,92.0,27.0,29.0,110.0,112.0,32.0,28.0,49.0,55.0,33.0,35.0,53.0,51.0,35.0,33.0,32.0,31.0,62.0,64.0,117.0,117.0,69.0,65.0,78.0,77.0,35.0,39.0,100.0,102.0,84.0,82.0,58.0,56.0,65.0,63.0,31.0,30.0,41.0,34.0,32.0,40.0
